 ,Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
1,(ID257 : ID870),1,257,870,0.003,0.500,54.124,46.389,0,0.056,0.056,None
2,(ID870 : ID460),1,870,460,0.005,1.500,54.096,46.389,0,0.069,0.069,None
3,(ID460 : ID671),1,460,671,0.003,2.500,54.058,46.382,0,0.052,0.052,None
4,(ID671 : ID1471),1,671,1471,0.021,3.500,54.077,46.465,0,0.145,0.145,None
5,(ID1471 : ID1063),1,1471,1063,0.002,4.500,54.110,46.505,0,0.047,0.047,None
6,(ID1063 : ID1265),1,1063,1265,0.005,5.500,54.119,46.515,0,0.071,0.071,None
7,(ID1265 : ID1857),1,1265,1857,0.032,6.500,54.115,46.460,0,0.180,0.180,None
8,(ID1857 : ID1668),1,1857,1668,0.004,7.500,54.070,46.360,0,0.064,0.064,None
9,(ID1668 : ID2056),1,1668,2056,0.013,8.500,54.063,46.400,0,0.115,0.115,None
10,(ID264 : ID877),6,264,877,0.197,0.500,55.810,47.714,0,0.444,0.444,None
11,(ID877 : ID467),6,877,467,8.146E-4,1.500,56.006,47.840,0,0.029,0.029,None
12,(ID467 : ID678),6,467,678,3.362E-4,2.500,56.020,47.851,0,0.018,0.018,None
13,(ID678 : ID1477),6,678,1477,0.003,3.500,56.013,47.830,0,0.050,0.050,None
14,(ID1477 : ID1069),6,1477,1069,5.128E-4,4.500,56.002,47.820,0,0.023,0.023,None
15,(ID1069 : ID1271),6,1069,1271,7.609E-4,5.500,55.996,47.837,0,0.028,0.028,None
16,(ID1271 : ID1864),6,1271,1864,0.001,6.500,55.991,47.828,0,0.034,0.034,None
17,(ID1864 : ID1679),6,1864,1679,0.001,7.500,55.995,47.832,0,0.039,0.039,None
18,(ID1679 : ID2063),6,1679,2063,7.266E-4,8.500,56.005,47.850,0,0.027,0.027,None
19,(ID2063 : ID2437),6,2063,2437,0.141,9.500,56.197,47.789,0,0.376,0.376,None
20,(ID265 : ID876),7,265,876,0.000,0.500,62.560,47.680,0,0.000,0.000,None
21,(ID876 : ID468),7,876,468,0.026,1.500,62.560,47.760,0,0.160,0.160,None
22,(ID468 : ID676),7,468,676,0.026,2.500,62.560,47.760,0,0.160,0.160,None
23,(ID676 : ID1475),7,676,1475,0.000,3.500,62.560,47.680,0,0.000,0.000,None
24,(ID1475 : ID1070),7,1475,1070,0.026,4.500,62.560,47.760,0,0.160,0.160,None
25,(ID1070 : ID1269),7,1070,1269,0.870,5.500,62.125,47.671,0,0.933,0.933,None
26,(ID1269 : ID1861),7,1269,1861,0.139,6.500,61.521,47.425,0,0.372,0.372,None
27,(ID1861 : ID1672),7,1861,1672,0.032,7.500,61.264,47.365,0,0.179,0.179,None
28,(ID1672 : ID2060),7,1672,2060,0.022,8.500,61.246,47.357,0,0.150,0.150,None
29,(ID2060 : ID2434),7,2060,2434,0.006,9.500,61.317,47.370,0,0.076,0.076,None
30,(ID2434 : ID2614),7,2434,2614,0.012,10.500,61.333,47.356,0,0.109,0.109,None
31,(ID2614 : ID2246),7,2614,2246,0.006,11.500,61.385,47.299,0,0.075,0.075,None
32,(ID2246 : ID2773),7,2246,2773,0.005,12.500,61.421,47.330,0,0.071,0.071,None
33,(ID2773 : ID2956),7,2773,2956,0.015,13.500,61.375,47.407,0,0.121,0.121,None
34,(ID2956 : ID3290),7,2956,3290,0.008,14.500,61.310,47.408,0,0.092,0.092,None
35,(ID3290 : ID3129),7,3290,3129,0.047,15.500,61.194,47.419,0,0.217,0.217,None
36,(ID3129 : ID3464),7,3129,3464,0.179,16.500,61.170,47.272,0,0.424,0.424,None
37,(ID3464 : ID3816),7,3464,3816,3.279E-4,17.500,61.232,47.072,0,0.018,0.018,None
38,(ID3816 : ID3648),7,3816,3648,0.015,18.500,61.182,47.117,0,0.123,0.123,None
39,(ID3648 : ID3983),7,3648,3983,0.053,19.500,61.046,47.100,0,0.230,0.230,None
