 ,Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
1,Track_1,10,0,0,0,0,0,9,0,9,0.101,1,1,54.094,46.427,0,0.089,0.180,0.047,0.069,0.047,589.358,840.146,422.503,523.604,152.544
2,Track_6,11,0,0,0,0,0,10,0,10,0.768,6,6,56.003,47.805,0,0.107,0.444,0.018,0.034,0.161,2300.577,2988.426,569.341,2607.747,823.652
3,Track_7,23,0,0,0,0,0,22,0,22,2.113,7,7,61.573,47.386,0,0.186,0.933,0.000,0.150,0.201,1103.108,2261.545,422.987,963.154,526.949
4,Track_16,21,0,0,0,0,0,20,0,20,0.197,16,16,61.422,50.300,0,0.196,0.528,0.058,0.193,0.121,955.389,1724.953,484.668,901.822,275.085
5,Track_17,31,0,0,0,0,0,30,0,30,0.084,17,17,46.961,51.293,0,0.117,0.751,0.009,0.067,0.174,720.249,1104.918,406.976,744.358,219.539
6,Track_18,43,0,0,0,0,0,42,0,42,1.226,18,18,59.049,51.889,0,0.228,0.923,0.006,0.200,0.195,943.027,3761.643,481.118,784.411,618.946
7,Track_20,13,0,0,0,0,0,12,0,12,0.058,20,20,53.770,52.746,0,0.086,0.202,0.033,0.075,0.051,994.882,1367.149,612.563,1017.259,196.702
8,Track_22,14,0,0,0,0,0,13,0,13,0.276,22,22,59.685,53.319,0,0.123,0.296,0.016,0.089,0.093,1230.775,3002.683,446.342,1054.444,602.479
9,Track_23,29,0,0,0,0,0,28,0,28,0.075,23,23,22.750,54.409,0,0.049,0.099,0.013,0.048,0.026,921.964,1233.927,425.399,915.855,169.969
10,Track_29,177,0,0,0,0,0,176,0,176,0.160,29,29,61.137,60.480,0,0.019,0.160,0.000,0.000,0.052,5059.428,8892.001,990.527,4626.372,1852.647
